romeo_id	publisher_name	publisher_alias	link_type	link_url
1644	University of Arizona	Creative Commons Attribution Non-Commercial Share Alike	Policy	https://journals.uair.arizona.edu/index.php/itet/about/submissions#copyrightNotice
1937	University of Arizona	Radiocarbon	Policy	https://journals.uair.arizona.edu/index.php/radiocarbon/about/submissions#copyrightNotice
2951	Geological Society of America	GSA Today	Policy	http://www.geosociety.org/GSA/GSAToday/Author_Info/Home.aspx
3221	Geological Society of America	Open Access	Policy	http://www.geosociety.org/gsa/pubs/openaccess.aspx
2750	Presses de l'Ifpo	Syria	Policy	http://www.ifporient.org/node/1035
2521	University of California Press	Collabra	Policy	http://www.collabra.org/about/submissions/
2306	Optical Society of America	No Paid Open Access	Posting Policy	https://www.osapublishing.org/submit/review/copyright_permissions.cfm#posting
2306	Optical Society of America	No Paid Open Access	Copyright Transfer Agreement	https://www.osapublishing.org/submit/forms/copyxfer.pdf
2305	Optical Society of America	Open Access Journals	Posting Policy	https://www.osapublishing.org/submit/review/copyright_permissions.cfm#posting
2305	Optical Society of America	Open Access Journals	Copyright Transfer Agreement	https://www.osapublishing.org/submit/forms/copyxfer.pdf
2305	Optical Society of America	Open Access Journals	Open Access Policy	https://www.osapublishing.org/submit/review/open-access-policy-statement.cfm
2935	Amsterdam University Press	Open Access Titles	Policy	http://en.aup.nl/en/journals/open-access.html
1162	Université Paris 3, Institut des Hautes Etudes de l'Amérique Latine (IHEAL / Université Paris 3)	Cahiers des Amériques Latines	Policy	http://cal.revues.org/?page=informations
2965	Taylor & Francis Open	Creative Commons Attribution	Policy	http://journalauthors.tandf.co.uk/preparation/OpenAccess.asp
2966	Taylor & Francis Open	Creative Commons Attribution Non-Commercial	Policy	http://journalauthors.tandf.co.uk/preparation/OpenAccess.asp
1607	Taylor & Francis Open	No Creative Commons	Example Policy	http://www.tandfonline.com/action/authorSubmission?journalCode=umcf20&page=instructions
1221	Università degli Studi di Milano (University of Milan)	Attribution	Example Policy	http://riviste.unimi.it/index.php/enthymema/about/submissions#copyrightNotice
2802	Università degli Studi di Milano (University of Milan)	Creative Commons Attribution Share Alike	Example Policy	http://riviste.unimi.it/interfaces/about/submissions#copyrightNotice
1222	Università degli Studi di Milano (University of Milan)	Enthymema	Example Policy	http://riviste.unimi.it/index.php/enthymema/about/submissions#copyrightNotice
1220	Università degli Studi di Milano (University of Milan)	Share Alike	Example Policy	http://riviste.unimi.it/index.php/food-in/about/submissions#copyrightNotice
1225	ediPUCRS	Analise	Policy	http://revistaseletronicas.pucrs.br/fo/ojs/index.php/face/about/submissions#copyrightNotice
1226	ediPUCRS	BELT	Policy	http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/submissions#copyrightNotice
2772	Acoustical Society of America	Acoustics Today	Policy	http://acousticstoday.org/wp-content/uploads/2014/01/Acoustics-Today-Author-Agreement-and-Copyright-Assignment-10-31-2014.pdf
2438	Elsevier (Cell Press)	12 month embargo	Policy	http://www.cell.com/rights-sharing-embargoes
2437	Elsevier (Cell Press)	6 month embargo	Policy	http://www.cell.com/rights-sharing-embargoes
1468	Elsevier (Cell Press)	OAJ	Cell Reports Information for Authors	http://www.cell.com/cell-reports/authors
1468	Elsevier (Cell Press)	OAJ	Stem Cell Reports Information for Authors	http://download.cell.com/images/edimages/stemcellreports/author_guide.pdf
1144	Taylor & Francis (Psychology Press)	STM, Behavioural Science and Public Health Titles	Policy	http://authorservices.taylorandfrancis.com/sharing-your-work/
2758	TU Delft, Faculteit Bouwkunde	FOOTPRINT	Policy	http://footprint.tudelft.nl/index.php/footprint/about/submissions#copyrightNotice
2300	Universidade Federal do Espírito Santo	Creative Commons Attribution Non-Commercial Share Alike	Policy	http://periodicos.ufes.br/sinais/about/editorialPolicies#openAccessPolicy
2429	Universidad de Costa Rica	Creative Commons Attribution	Example Policy	http://revistas.ucr.ac.cr/index.php/ingenieria/about/submissions#copyrightNotice
2841	Universidad de Costa Rica	Creative Commons Attribution Non-Commercial Share Alike		http://revistas.ucr.ac.cr/index.php/eciencias/about/submissions#copyrightNoticeExample policy&lt;/a
2720	University of Hawaii Press	Language Documentation and Conservation	Policy	http://nflrc.hawaii.edu/ldc/?page_id=34
2795	EDP Sciences	Cahiers Agricultures	Policy	http://www.cahiersagricultures.fr/author-information/copyright-transfer
1277	EDP Sciences	EPJ	Policy	http://www.epj.org/images/stories/copyright/copyright_epj.pdf
1278	EDP Sciences	EPJ Open Access	Policy	http://www.epj.org/index.php?option=com_content&view=article&id=360&Itemid=389
1553	Ernst und Sohn	OnlineOpen	Policy	https://www.ernst-und-sohn.de/sites/default/files/uploads/service/autoren/EuS_CTA_DE_2016-02.pdf
2895	Royal College of Psychiatrists	BJPsych Bulletin	Policy	http://pb.rcpsych.org/content/instructions-authors
1426	Universidad Politécnica de Valencia (PoliPapers)	12 month Embargo	Policy	https://ojs.upv.es/index.php/EGA/about/submissions#copyrightNotice
1427	Universidad Politécnica de Valencia (PoliPapers)	24 month Embargo	Policy	https://ojs.upv.es/index.php/wrs/about/submissions#copyrightNotice
1428	Universidad Politécnica de Valencia (PoliPapers)	Pre-print allowed	Policy	https://ojs.upv.es/index.php/WPOM/about/submissions#copyrightNotice
2307	Library and Information Technology Association	Technology Electronic Reviews	Policy	http://www.ala.org/lita/sites/ala.org.lita/files/content/publications/archive/ter/contributors/copyright_assignment.pdf
2862	Universidade Federal do Rio Grande do Norte	Creative Commons Attribution Non-Commercial No Derivatives	Example Policy	https://periodicos.ufrn.br/revistadefisioterapia/about/submissions#copyrightNotice
2824	Universidade Federal do Rio Grande do Norte	Creative Commons Attribution Non-Commercial Share Alike	Example Policy	http://www.periodicos.ufrn.br/odisseia/about/submissions#copyrightNotice
1461	Fagbokforlaget	PDF Only	Policy	http://www.magma.no/bidrag-til-magma
2526	Inter Research	Open Access Journals	Policy	http://www.int-res.com/journals/open-access/
1525	Nutrition Society	Journal of Nutritional Science	Policy	http://www.nutritionsociety.org/sites/www.nutritionsociety.org/files/JNS%20Licence%20to%20Publish%202011%20final.pdf
1555	London Mathematical Society	LMS Journal of Computation and Mathematics		http://www.lms.ac.uk/sites/lms.ac.uk/files/Publications/JCM_licence.pdf
1555	London Mathematical Society	LMS Journal of Computation and Mathematics		http://www.lms.ac.uk/sites/lms.ac.uk/files/Publications/FactSheetJCM.pdf
1527	London Mathematical Society	Transactions	Policy	http://londmathsoc.onlinelibrary.wiley.com/hub/journal/10.1112/(ISSN)2052-4986/open-access.html
1529	Foundation Compositio Mathematica	Algebraic Geometry	Policy	http://algebraicgeometry.nl/copyright.html
1884	BioScientifica	Endocrinology, Diabetes and Metabolism Case Reports	Policy	https://www.edmcasereports.com/pages/author-centre
1885	BioScientifica	Various Creative Commons	Policy	http://www.endocrineconnections.com/site/misc/Bioscientifica_Open_Access_Policy.xhtml#gold
2805	Brill Academic Publishers	Creative Commons Attribution	Policy	http://www.brill.com/resources/authors/publishing-journals-brill/brill-open-access-journals
2804	Brill Academic Publishers	Creative Commons Attribution Non-Commercial	Policy	http://www.brill.com/resources/authors/publishing-journals-brill/brill-open-access-journals
2806	Brill Academic Publishers	Creative Commons Attribution Non-Commercial No Derivatives	Policy	http://www.brill.com/resources/authors/publishing-journals-brill/brill-open-access-journals
1560	University of Kent	Political Almanac	Policy	http://journals.kent.ac.uk/index.php/the-political-almanac/about/submissions#copyrightNotice
2803	Karger Publishers Open Access	Creative Commons Attribution Non-Commercial	Open Access Licenses	http://www.karger.com/OpenAccess/AboutOA#oalicenses
2803	Karger Publishers Open Access	Creative Commons Attribution Non-Commercial	About Open Access	http://www.karger.com/OpenAccess/AboutOA
1604	National Academy of Sciences of the Republic of Armenia	Creative Commons	Example Policy	http://www.flib.sci.am/eng/journal/Math/instruction_for_authors.html
2009	Libertas Academica	Clinical Medicine Review Titles	Policy	http://www.la-press.com/author_resources.php?folder_id=120#pagelink_663
1629	American Society for Microbiology	Open Access Journals	Author Warranty and Provisional License to Publish	http://genomea.asm.org/site/misc/authorwarranty.xhtml
1629	American Society for Microbiology	Open Access Journals	Instructions for Authors	http://genomea.asm.org/site/misc/journal-ita_edi.xhtml#06
1629	American Society for Microbiology	Open Access Journals	Author Warranty and Provisional License to Publish	http://msystems.asm.org/content/author-warranty-and-provisional-license-publish
1713	Elektroniczna BIBlioteka (EBIB Association)	Share Alike	Policy	http://open.ebib.pl/ojs/index.php/wydawnictwa_zwarte/about/submissions#copyrightNotice
1732	Universidad Nacional de Costa Rica	Creative Commons Attribution	Example Policy	http://www.revistas.una.ac.cr/index.php/perspectivas/about/submissions#copyrightNotice
1730	Universidad Nacional de Costa Rica	Creative Commons Attribution No Derivatives	Example Policy	http://www.revistas.una.ac.cr/index.php/perspectivasrurales
1729	Universidad Nacional de Costa Rica	Creative Commons Attribution Non-Commercial	Example Policy	http://www.revistas.una.ac.cr/index.php/praxis/about/submissions#copyrightNotice
1731	Universidad Nacional de Costa Rica	Creative Commons Attribution Non-Commercial Share Alike	Example Policy	http://www.revistas.una.ac.cr/index.php/bibliotecas/about/submissions#copyrightNotice
2883	Universidad Nacional de Costa Rica	Revista Ciencias Marinas y Costeras	Policy	http://revistas.una.ac.cr/index.php/revmar/about/submissions#copyrightNotice
1130	University of Texas Press	Cinema Journal	Policy	https://utpress.utexas.edu/permissions-request
1808	University of London, Institute of Historical Research	Reviews in History	Policy	http://www.history.ac.uk/reviews/sites/reviews/files/Creative_Commons.pdf
3028	Suomen Metsätieteellinen Seura ry (Finnish Society of Forest Science)	Dissertationes Forestales	Policy	https://ojs.silvafennica.fi/index.php/dissertationes/about/submissions#copyrightNotice
2260	POL Scientific	Bladder	Policy	http://www.bladderj.org/bladder/about/submissions#copyrightNotice
2938	University of Massachusetts Medical School	Creative Commons Attribution	Policy	http://escholarship.umassmed.edu/jgr/about.html
1868	Universitat de Valencia	Creative Commons Attribution	Example Policy	http://ojs.uv.es/index.php/digitos/about/submissions#copyrightNotice
2011	Aalborg Universitetsforlag	IJSEPM	Policy	http://journals.aau.dk/index.php/sepm/about/submissions#copyrightNotice
1877	Aalborg Universitetsforlag	Musikterapi i psykiatrien	Policy	http://ojs.statsbiblioteket.dk/index.php/mip/about/submissions#copyrightNotice
1134	Taylor & Francis (Routledge)	Library and Information Science	Policy	https://authorservices.taylorandfrancis.com/author-rights-pilot/
1140	Taylor & Francis (Routledge)	SSH Titles	Policy	http://authorservices.taylorandfrancis.com/sharing-your-work/
1600	Taylor & Francis (Routledge)	SSH Titles - no Open Select	Policy	http://authorservices.taylorandfrancis.com/sharing-your-work/
1139	Taylor & Francis (Routledge)	STM, Behavioural Science and Public Health Titles	Policy	http://authorservices.taylorandfrancis.com/sharing-your-work/
1606	Taylor & Francis (Routledge)	STM, Behavioural Science and Public Health Titles - No Open Select	Policy	http://authorservices.taylorandfrancis.com/sharing-your-work/
2742	Media Systems Communications	Creative Commons Attribution Share Alike	Example Policy	http://www.rojced.com/index.php/rojced/about/submissions#copyrightNotice
3159	Eisenbrauns	Pennsylcania History	Policy	https://www.eisenbrauns.org/Journals/jnls_policies.html
1976	Michigan Publishing	Feminist Studies	Policy	http://www.feministstudies.org/submissions/guidelines.html
1975	Michigan Publishing	Gender, Sexuality and Feminism	Policy	http://www.gsfjournal.org/about.html#copyright
1978	Michigan Publishing	Journal of Electronic Publishing	Policy	http://www.journalofelectronicpublishing.org/submit.html
1973	Michigan Publishing	Journal of the Abraham Lincoln Association	Policy	http://quod.lib.umich.edu/j/jala/about
1972	Michigan Publishing	Michigan Family Review	Policy	http://quod.lib.umich.edu/m/mfr/submit
1977	Michigan Publishing	Michigan Journal of Community Service Learning	Policy	http://ginsberg.umich.edu/mjcsl/submission-guidelines
1979	Michigan Publishing	Trans-Asia Photography Review	Policy	http://tapreview.org/about.html#copyright
2278	Michigan Publishing	Weave	Policy	http://weaveux.org/about.php#call
1467	Econometric Society	Econometrica	Copyright	http://www.econometricsociety.org/submissions.asp
1467	Econometric Society	Econometrica	Permissions	http://www.econometricsociety.org/permis.asp
3038	Society for Neuroscience	eNeuro	Policy	http://www.eneuro.org/content/general-information#policies
2703	American Heart Association	JAHA	Policy	http://jaha.ahajournals.org/site/misc/openaccess.xhtml
2972	Thieme Open	Creative Commons Attribution	Policy	http://open.thieme.com/web/19/faq
2712	Palgrave Macmillan	18 month embargo	Policy	http://www.palgrave-journals.com/pal/authors/rights_and_permissions.html
2790	Palgrave Macmillan	No Palgrave Open	Policy	http://www.palgrave-journals.com/pal/authors/rights_and_permissions.html
2734	Palgrave Macmillan	Palgrave Communications	Policy	http://www.palgrave-journals.com/palcomms/about/openaccess
2807	Borntraeger Science Publishers	Newsletters on Stratigraphy	Policy	http://www.schweizerbart.de/journals/nos
2171	Borntraeger Science Publishers	Open Access	Policy	http://www.schweizerbart.de/journals/metz/instructions
1643	Landes Bioscience	OAJ	Example Policy	http://www.landesbioscience.com/journals/cib/guidelines/#openaccess
2756	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Creative Commons Attribution Non-Commercial	Policy	http://annalisismondi.unibo.it/about/editorialPolicies#openAccessPolicy
2766	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Creative Commons Attribution Non-Commercial No Derivatives	Policy	http://montesquieu.unibo.it/about/editorialPolicies#openAccessPolicy
2770	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Creative Commons Attribution Non-Commercial PDF Only	Example Policy	http://in_bo.unibo.it/about/editorialPolicies#openAccessPolicy;
2236	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Creative Commons Attribution Share Alike	Example Policy	http://musicadocta.unibo.it/about/submissions#copyrightNotice
2767	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Danza e Ricerca	Policy	http://danzaericerca.unibo.it/about/editorialPolicies#openAccessPolicy
2237	Alma Mater Studiorum - Università di Bologna (University of Bologna)	No Pre-print	Example Policy	http://conservation-science.unibo.it/about/submissions#copyrightNotice
2235	Alma Mater Studiorum - Università di Bologna (University of Bologna)	PDF Only	Example Policy	http://intreccidarte.unibo.it/about/submissions#copyrightNotice
2238	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Publisher retains copyright	Example Policy	http://rivista-statistica.unibo.it/about/submissions#copyrightNotice
2769	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Ricerche di Pedagogia e Didattica	Policy	http://rpd.unibo.it/about/editorialPolicies#openAccessPolicy
2768	Alma Mater Studiorum - Università di Bologna (University of Bologna)	Studi Tributari Europei	Policy	http://ste.unibo.it/about/editorialPolicies#openAccessPolicy
1912	Columbia University, Library/Information Service, Center for Digital Research and Scholarship	Creative Commons Attribution Non-Commercial License	Policy	http://cswr.columbia.edu/?page_id=95
2251	Columbia University, Library/Information Service, Center for Digital Research and Scholarship	Creative Commons Attribution Non-Commercial No Derivatives	Policy	http://www.tremorjournal.org/index.php/tremor/about/submissions#copyrightNotice
2255	Universidade Nova de Lisboa, Faculdade de Ciências Sociais e Humanas, Centro de História d'Aquém e d'Além Mar	No Embargo Period		http://cham.fcsh.unl.pt/ext/pages/publicacoes_anais.htm.Example Policy&lt;/a
2314	Yildiz Technical University	Creative Commons Attribution Non-Commercial	Example Policy	http://eds.yildiz.edu.tr/sigma/CreativeCommons
2327	Association of College and Research Libraries	College and Research Libraries	Policy	http://www.ala.org/acrl/publications/publicationsfaq
2357	Utrecht University Library Open Access Journals (Uopen Journals)	De Zeventiende Eeuw	Policy	http://www.de-zeventiende-eeuw.nl/index.php/dze/about/submissions#copyrightNotice
2352	Utrecht University Library Open Access Journals (Uopen Journals)	Incontri	Policy	http://www.rivista-incontri.nl/index.php/incontri/about/submissions#copyrightNotice
2355	Utrecht University Library Open Access Journals (Uopen Journals)	International Journal for Court Administration	Policy	http://www.iacajournal.org/index.php/ijca/about/submissions#copyrightNotice
2353	Utrecht University Library Open Access Journals (Uopen Journals)	International Journal for History, Culture and Modernity	Policy	http://www.history-culture-modernity.org/index.php/hcm/about/submissions#copyrightNotice
2356	Utrecht University Library Open Access Journals (Uopen Journals)	Journal of Social Intervention: Theory and Practice	Policy	http://www.journalsi.org/index.php/si/about/submissions#copyrightNotice
2354	Utrecht University Library Open Access Journals (Uopen Journals)	RELIEF	Policy	https://www.revue-relief.org/index.php/relief/about/submissions#copyrightNotice
2358	Utrecht University Library Open Access Journals (Uopen Journals)	Studium	Policy	http://www.gewina-studium.nl/index.php/studium/about/submissions#copyrightNotice
2350	Utrecht University Library Open Access Journals (Uopen Journals)	Utrecht Law Review	Policy	https://www.utrechtlawreview.org/index.php/ulr/about/submissions#copyrightNotice
1502	AlphaMed Press	Oncologist	Policy	http://theoncologist.alphamedpress.org/site/misc/reprints_permissions.xhtml
2269	AlphaMed Press	STEM CELLS Translational Medicine	Policy	http://www.stemcellsportal.com/sctm-info-for-contributors
2589	Julius Kühn-Institut - Bundesforschungsinstitut für Kulturpflanzen (Federal Research Centre for Cultivated Plants)	Julius-Kühn-Archiv	Policy	http://pub.jki.bund.de/index.php/JKA/about/submissions#copyrightNotice
2826	Universidad de Jaén, Centro de Profesorado Sagrada Familia de Ubenda	Creative Commons Attribution	Policy	http://revistaselectronicas.ujaen.es/index.php/ATM/about/submissions#copyrightNotice
2825	Universidad de Jaén, Centro de Profesorado Sagrada Familia de Ubenda	Creative Commons Attribution Non-Commercial	Policy	http://revistaselectronicas.ujaen.es/index.php/atma/about/submissions#copyrightNotice
2842	Russian Union of Paediatricians (Paediatrician Publishers LLC)	Creative Commons Attribution	Example Copyright Policy	http://vsp.spr-journal.ru/jour/about/submissions#copyrightNotice
3089	BMJ Publishing Group	6 months embargo	Policy	http://casereports.bmj.com/site/misc/copyright.pdf
1174	BMJ Publishing Group	BMJ	BMJ Resources for Authors	http://www.bmj.com/about-bmj/resources-authors
1174	BMJ Publishing Group	BMJ	Permissions	http://www.bmj.com/about-bmj/resources-readers/permissions
1229	BMJ Publishing Group	Open Access	Policy	http://authors.bmj.com/open-access/
2771	Universidad de Las Palmas de Gran Canaria	Philologica Canariensia	Policy	http://ojsspdc.ulpgc.es/ojs/index.php/PhilCan/about/submissions#copyrightNotice
2894	Edinburgh University Press	Film-Philosophy	Policy	http://www.film-philosophy.com/index.php/f-p/about/submissions#copyrightNotice
2808	Tübitak Dergi Park	Family Practice and Palliative Care	Policy	http://www.fppc.com.tr/page/2068
2959	Tübitak Dergi Park	International Journal of Engineering and Geosciences	Policy	http://dergipark.gov.tr/ijeg/page/2288
1487	Entomological Society of America	Journal of Integrated Pest Management	Access Policies	http://www.entsoc.org/Pubs/Periodicals/jipm/#access
1487	Entomological Society of America	Journal of Integrated Pest Management	Publishing Agreement	http://www.entsoc.org/PDF/Pubs/Publish/Policies/Publishing_Agreement.pdf
2792	Universidad del Magdalena	Creative Commons Attribution Non-Commercial Share Alike	Policy	http://revistas.unimagdalena.edu.co/index.php/duazary/about/submissions#copyrightNotice
2774	Cambridge University Press (CUP)	12 months	Open Access Options	http://journals.cambridge.org/action/displaySpecialPage?pageId=4608
1599	Cambridge University Press (CUP)	Creative Commons	Policy	http://journals.cambridge.org/images/fileUpload/images/SIP_ctf_oa.pdf
1518	Cambridge University Press (CUP)	Creative Commons Attribution	FAQs - Forum of Mathematics, Pi and Forum of Mathematics, Sigma	http://journals.cambridge.org/images/fileUpload/images/FAQs_03-04-2013.pdf
1518	Cambridge University Press (CUP)	Creative Commons Attribution	Journal - Grant of Licence Open Access form  High Power Laser Science and Engineering	http://journals.cambridge.org/images/fileUpload/images/HPL_ctf_oa.pdf
2128	Cambridge University Press (CUP)	HSS Journals	Open Access Options	http://journals.cambridge.org/action/displaySpecialPage?pageId=4608
2130	Cambridge University Press (CUP)	HSS Journals - No Cambridge Open	Open Access Options	http://journals.cambridge.org/action/displaySpecialPage?pageId=4608
1838	Cambridge University Press (CUP)	No Cambridge Open	Copyright and Repositories	http://journals.cambridge.org/action/displaySpecialPage?pageId=4676#
2843	Cambridge University Press (CUP)	PDF allowed	Example Copyright Transfer Agreement	http://journals.cambridge.org/images/fileUpload/documents/EJB_ctf.pdf
3002	Cambridge University Press (CUP)	PDF Allowed No Embargo	Example Policy	https://www.cambridge.org/core/services/aop-file-manager/file/58529c40c79b9b1b6564b4a8
3184	Cambridge University Press (CUP)	PDF Allowed SR	Open Access Options	http://journals.cambridge.org/action/displaySpecialPage?pageId=4608
2911	Cambridge University Press (CUP)	Radiocarbon	Policy	https://www.cambridge.org/core/journals/radiocarbon/information/transfer-copyright
2127	Cambridge University Press (CUP)	STM Journals	Open Access Options	http://journals.cambridge.org/action/displaySpecialPage?pageId=4608
2129	Cambridge University Press (CUP)	STM Journals - No Cambridge Open	Open Access Options	http://journals.cambridge.org/action/displaySpecialPage?pageId=4608
2811	Widmaier Verlag	Lingua Aegyptia  Studia Monographica	Policy	http://widmaier-verlag.de/index.php?content=info#resources
2917	Berghahn Journals	24 months	Policy	http://journals.berghahnbooks.com/authors/own-articles
2918	Berghahn Journals	36 months	Policy	http://journals.berghahnbooks.com/authors/own-articles
3073	Nova Southeastern University	Internet Journal of Allied Health Sciences and Practice	Policy	http://nsuworks.nova.edu/ijahsp/policies.html
3072	Nova Southeastern University	Qualitative Report	Policy	http://nsuworks.nova.edu/tqr/policies.html
3139	Universidade do Algarve, Escola Superior de Gestão, Hotelaria e Turismo	No self-archiving	Policy	http://www.dosalgarves.com/pt/normas.html
1980	University of Illinois Press	Illinois Classical Studies	Policy	http://www.press.uillinois.edu/journals/ics/icsdeposit.html
2954	Università degli studi di Cagliari	Cartagine	Example Policy	http://ojs.unica.it/index.php/caster/about/submissions#copyrightNotice
2082	Company of Biologists	Development	Self-archiving rights	http://dev.biologists.org/content/rights-permissions
2082	Company of Biologists	Development	Redundant or Concurrent Publication	http://dev.biologists.org/content/journal-policies#redundant
1589	Company of Biologists	OAJ	DMM - Rights and Permissions	http://dmm.biologists.org/content/rights-permissions
1589	Company of Biologists	OAJ	Biology Open - Rights and Permissions	http://bio.biologists.org/content/rights-permissions
3120	Virtus Interpress	Open Access	Policy	https://virtusinterpress.org/Journal-Policies.html
3044	Imprensa da Universidade de Coimbra	Antropologia Portuguesa	Policy	http://impactum-journals.uc.pt/antropologiaportuguesa/about/submissions#copyrightNotice
3043	Imprensa da Universidade de Coimbra	Not permitted	Example Policy	http://impactum-journals.uc.pt/mj/about/submissions
3132	Universidade Lusíada Editora	No self-archiving	Policy	http://editora.lis.ulusiada.pt/direitos.htm
829	Bergen Open Access Publishing	Creative Commons Attribution Non-Commercial Share Alike License	Example Policy	https://noril.uib.no/index.php/noril/about/submissions#copyrightNotice
3092	Bergen Open Access Publishing	Voices	Policy	https://voices.no/index.php/voices/about/submissions#copyrightNotice
2823	Elsevier	12 months	Unleashing the power of academic sharing	http://www.elsevier.com/connect/elsevier-updates-its-policies-perspectives-and-services-on-article-sharing
2823	Elsevier	12 months	Sharing Policy	http://www.elsevier.com/about/company-information/policies/sharing
2823	Elsevier	12 months	Sharing and Hosting Policy FAQ	https://www.elsevier.com/about/our-business/policies/sharing/policy-faq
2823	Elsevier	12 months	Green open access	http://www.elsevier.com/about/open-access/green-open-access
2823	Elsevier	12 months	Journal Embargo Period List	https://www.elsevier.com/__data/assets/pdf_file/0005/78476/external-embargo-list.pdf
2823	Elsevier	12 months	Journal Embargo List for UK Authors<a/> - <a href=https://www.elsevier.com/about/our-business/policies/sharing/how-to-attach-a-user-license>Attaching a User License	https://www.elsevier.com/__data/assets/pdf_file/0011/78473/EmbargoPeriods_Dec2017.pdf
2823	Elsevier	12 months	Funding Body Agreements	https://www.elsevier.com/about/open-science/open-access/agreements
2943	Elsevier	24 months	Unleashing the power of academic sharing	http://www.elsevier.com/connect/elsevier-updates-its-policies-perspectives-and-services-on-article-sharing
2943	Elsevier	24 months	Sharing Policy	http://www.elsevier.com/about/company-information/policies/sharing
2943	Elsevier	24 months	Sharing and Hosting Policy FAQ	https://www.elsevier.com/about/our-business/policies/sharing/policy-faq
2943	Elsevier	24 months	Green open access	http://www.elsevier.com/about/open-access/green-open-access
2943	Elsevier	24 months	Journal Embargo Period List	https://www.elsevier.com/__data/assets/pdf_file/0005/78476/external-embargo-list.pdf
2943	Elsevier	24 months	Journal Embargo List for UK Authors<a/> - <a href=https://www.elsevier.com/about/our-business/policies/sharing/how-to-attach-a-user-license>Attaching a User License	https://www.elsevier.com/__data/assets/pdf_file/0011/78473/EmbargoPeriods_Dec2017.pdf
2943	Elsevier	24 months	Funding Body Agreements	https://www.elsevier.com/about/open-science/open-access/agreements
2944	Elsevier	36 months	Unleashing the power of academic sharing	http://www.elsevier.com/connect/elsevier-updates-its-policies-perspectives-and-services-on-article-sharing
2944	Elsevier	36 months	Sharing Policy	http://www.elsevier.com/about/company-information/policies/sharing
2944	Elsevier	36 months	Sharing and Hosting Policy FAQ	https://www.elsevier.com/about/our-business/policies/sharing/policy-faq
2944	Elsevier	36 months	Green open access	http://www.elsevier.com/about/open-access/green-open-access
2944	Elsevier	36 months	Journal Embargo Period List	https://www.elsevier.com/__data/assets/pdf_file/0005/78476/external-embargo-list.pdf
2944	Elsevier	36 months	Journal Embargo List for UK Authors<a/> - <a href=https://www.elsevier.com/about/our-business/policies/sharing/how-to-attach-a-user-license>Attaching a User License	https://www.elsevier.com/__data/assets/pdf_file/0011/78473/EmbargoPeriods_Dec2017.pdf
2944	Elsevier	36 months	Funding Body Agreements	https://www.elsevier.com/about/open-science/open-access/agreements
1506	Elsevier	Cancer Treatment Communications	Guide for Authors	http://www.elsevier.com/journals/cancer-treatment-communications/2213-0896/guide-for-authors
